行政區,提供查詢之買賣實價案件數_件,住宅區房地買賣實價案件數_件,商業區房地買賣實價案件數_件,工業區房地買賣實價案件數_件,實價登錄動態分析
全市,"5,520","2,813","1,385",71,"本季對外提供查詢之買賣實價案件計5,520件，較上季增加237件，增加幅度為4.49%；12行政區交易量相較上季有6區增加，6區減少，增加幅度最多為大安區61.94%，減少幅度最多為中正區27.35%。房地交易部分，住宅區房地買賣實價案件計2,813件，較上季減少119件，減少幅度為4.06%；商業區計1,385件，較上季減少55件，減少幅度為3.82%；工業區計71件，較上季增加5件，增加幅度為7.58%。茲將本市各行政區不動產交易動態略述如下："
松山區,379,174,129,0,本季對外提供查詢之買賣實價案件計379件，較上季增加77件，增加幅度為25.5%，主要因土地及商業區房地買賣案件增加所致。房地交易部分，住宅區房地買賣實價案件計174件，較上季減少6件，減少幅度為3.33%；商業區計129件，較上季增加47件，增加幅度為57.32%，主要因八德路四段及南京東路四段一帶買賣案件增加所致；工業區部分，本季與上季均無房地買賣實價案件。
大安區,753,282,179,0,本季對外提供查詢之買賣實價案件計753件，較上季增加288件，增加幅度為61.94%，主要因公共設施保留地交易及住宅大樓買賣案件增加所致。房地交易部分，住宅區房地買賣實價案件計282件，較上季增加37件，增加幅度為15.10％；商業區計179件，較上季增加30件，增加幅度為20.13%，主要因科技大樓站周邊一帶中古屋買賣案件增加所致。
中正區,255,120,97,0,本季對外提供查詢之買賣實價案件計255件，較上季減少96件，減少幅度為27.35%，主要因住宅區及商業區房地買賣案件減少所致。房地交易部分，住宅區房地買賣實價案件計120件，較上季減少36件，減少幅度為23.08%，主要因牯嶺街一帶新成屋買賣案件減少所致；商業區計97件，較上季減少33件，減少幅度為25.38%，主要因延平南路一帶新成屋買賣案件減少所致。
萬華區,330,128,138,0,本季對外提供查詢之買賣實價案件計330件，較上季增加20件，增加幅度為6.45%。房地交易部分，住宅區房地買賣實價案件計128件，較上季減少21件，減少幅度為14.09%；商業區計138件，較上季增加20件，增加幅度為16.95%。
大同區,266,61,154,0,本季對外提供查詢之買賣實價案件計266件，較上季增加29件，增加幅度為12.24%。房地交易部分，住宅區房地買賣實價案件計61件，較上季減少22件，減少幅度為26.51%，主要因大龍街一帶買賣案件減少所致；商業區計154件，較上季增加36件，增加幅度為30.51%，主要因承德路二段一帶新成屋買賣案件增加所致；工業區部分，本季與上季均無房地買賣實價案件。
中山區,587,195,325,0,本季對外提供查詢之買賣實價案件計587件，較上季減少44件，減少幅度為6.97%。房地交易部分，住宅區房地買賣實價案件計195件，較上季增加16件，增加幅度為8.94%；商業區計325件，較上季減少51件，減少幅度為13.56%；工業區部分，本季與上季均無房地買賣實價案件。
文山區,441,286,51,0,本季對外提供查詢之買賣實價案件計441件，較上季減少134件，減少幅度為23.30%，主要因新成屋買賣案件減少所致。房地交易部分，住宅區房地買賣實價案件計286件，較上季減少154件，減少幅度為35.00%，主要因木柵路一段一帶新成屋買賣案件減少所致；商業區計51件，較上季減少21件，減少幅度為29.17%，主要因木新路一段一帶新成屋買賣案件減少所致。
南港區,562,467,19,13,本季對外提供查詢之買賣實價案件計562件，較上季減少8件，減少幅度為1.40%。房地交易部分，住宅區房地買賣實價案件計467件，較上季減少30件，減少幅度為6.04%；商業區計19件，較上季增加2件，增加幅度為11.76%；工業區計13件，較上季減少1件，減少幅度為7.14%。
內湖區,568,328,73,37,本季對外提供查詢之買賣實價案件計568件，較上季增加134件，增加幅度為30.88%，主要因土地及住宅區房地買賣案件增加所致。房地交易部分，住宅區房地買賣實價案件計328件，較上季增加76件，增加幅度為30.16%，主要因內湖路二段及民權東路六段一帶買賣案件增加所致；商業區計73件，較上季減少5件，減少幅度為6.41%；工業區計37件，較上季增加5件，增加幅度為15.63%。
士林區,424,211,46,8,本季對外提供查詢之買賣實價案件計424件，較上季減少96件，減少幅度為18.46%。房地交易部分，住宅區房地買賣實價案件計211件，較上季減少54件，減少幅度為20.38%，主要因士東路一帶新成屋買賣案件減少所致；商業區計46件，較上季減少36件，減少幅度為43.9%，主要因文林路一帶買賣案件減少所致；工業區計8件，較上季減少1件，減少幅度為11.11%。
北投區,491,328,51,13,本季對外提供查詢之買賣實價案件計491件，較上季增加81件，增加幅度為19.76%。房地交易部分，住宅區房地買賣實價案件計328件，較上季增加96件，增加幅度為41.38%，主要因石牌路二段、大業路及大興街一帶新成屋買賣案件增加所致；商業區計51件，較上季增加4件，增加幅度為8.51%；工業區計13件，較上季增加5件，增加幅度為62.50%，主要因中央北路四段一帶買賣案件增加所致。
信義區,464,233,123,0,本季對外提供查詢之買賣實價案件計464件，較上季減少14件，減少幅度為2.93%。房地交易部分，住宅區房地買賣實價案件計233件，較上季減少21件，減少幅度為8.27%；商業區計123件，較上季減少48件，減少幅度為28.07%，主要因松隆路一帶新成屋買賣案件減少所致；工業區本季無房地買賣實價案件。
