住宅租金指數類別,期別,季指數,季變動率,標準租金單價（新台幣元每坪每月）
全市,107Q3,88.26,0.42,"1,172"
全市,107Q4,88.45,0.22,"1,174"
全市,108Q1,88.80,0.40,"1,179"
全市,108Q2,88.83,0.03,"1,179"
全市,108Q3,88.55,-0.32,"1,176"
全市,108Q4,88.81,0.29,"1,179"
全市,109Q1,88.91,0.11,"1,180"
全市,109Q2,88.98,0.08,"1,181"
全市,109Q3,89.28,0.34,"1,185"
全市,109Q4,89.67,0.44,"1,190"
全市,110Q1,90.18,0.57,"1,197"
全市,110Q2,91.06,0.98,"1,209"
全市,110Q3,91.23,0.19,"1,211"
全市,110Q4,91.83,0.66,"1,219"
全市,111Q1,92.44,0.66,"1,227"
全市,111Q2,93.34,0.97,"1,239"
全市,111Q3,93.76,0.45,"1,245"
全市,111Q4,94.78,1.09,"1,258"
全市,112Q1,95.66,0.93,"1,270"
全市,112Q2,96.26,0.63,"1,278"
全市,112Q3,98.25,2.07,"1,304"
全市,112Q4,100.00,1.78,"1,328"
全市,113Q1,100.81,0.81,"1,338"
全市,113Q2,101.87,1.05,"1,353"
全市,113Q3,102.48,0.60,"1,361"
全市,113Q4,103.32,0.82,"1,372"
全市,114Q1,104.40,1.05,"1,386"
全市,114Q2,105.71,1.25,"1,404"
全市,114Q3,107.26,1.47,"1,424"
全市,114Q4,108.78,1.42,"1,444"
大樓,107Q3,89.19,-,"1,380"
大樓,107Q4,89.37,0.20,"1,383"
大樓,108Q1,89.71,0.38,"1,388"
大樓,108Q2,89.83,0.13,"1,390"
大樓,108Q3,89.67,-0.18,"1,388"
大樓,108Q4,89.54,-0.14,"1,386"
大樓,109Q1,89.45,-0.10,"1,384"
大樓,109Q2,89.43,-0.02,"1,384"
大樓,109Q3,89.96,0.59,"1,392"
大樓,109Q4,90.16,0.22,"1,395"
大樓,110Q1,90.34,0.20,"1,398"
大樓,110Q2,91.42,1.20,"1,415"
大樓,110Q3,91.49,0.08,"1,416"
大樓,110Q4,92.12,0.69,"1,426"
大樓,111Q1,92.62,0.54,"1,433"
大樓,111Q2,93.41,0.85,"1,446"
大樓,111Q3,93.67,0.28,"1,450"
大樓,111Q4,94.98,1.40,"1,470"
大樓,112Q1,95.83,0.89,"1,483"
大樓,112Q2,96.20,0.39,"1,489"
大樓,112Q3,98.42,2.31,"1,523"
大樓,112Q4,100.00,1.61,"1,548"
大樓,113Q1,101.26,1.26,"1,567"
大樓,113Q2,101.99,0.72,"1,579"
大樓,113Q3,102.70,0.70,"1,590"
大樓,113Q4,103.57,0.85,"1,603"
大樓,114Q1,104.59,0.98,"1,619"
大樓,114Q2,105.44,0.81,"1,632"
大樓,114Q3,107.05,1.53,"1,657"
大樓,114Q4,108.79,1.63,"1,684"
公寓,107Q3,83.85,-,801
公寓,107Q4,85.04,1.42,813
公寓,108Q1,85.97,1.09,822
公寓,108Q2,85.89,-0.09,821
公寓,108Q3,85.39,-0.58,816
公寓,108Q4,86.95,1.83,831
公寓,109Q1,87.85,1.04,840
公寓,109Q2,88.19,0.39,843
公寓,109Q3,88.46,0.31,845
公寓,109Q4,88.93,0.53,850
公寓,110Q1,89.46,0.60,855
公寓,110Q2,90.30,0.94,863
公寓,110Q3,90.98,0.75,869
公寓,110Q4,91.20,0.24,872
公寓,111Q1,92.14,1.03,881
公寓,111Q2,93.27,1.23,891
公寓,111Q3,94.08,0.87,899
公寓,111Q4,94.68,0.64,905
公寓,112Q1,95.61,0.98,914
公寓,112Q2,96.75,1.19,925
公寓,112Q3,98.00,1.29,937
公寓,112Q4,100.00,2.04,956
公寓,113Q1,100.73,0.73,963
公寓,113Q2,101.81,1.07,973
公寓,113Q3,102.14,0.32,976
公寓,113Q4,102.90,0.74,983
公寓,114Q1,104.03,1.10,994
公寓,114Q2,106.22,2.11,"1,015"
公寓,114Q3,107.50,1.21,"1,027"
公寓,114Q4,108.57,1.00,"1,038"

